person_id,item_id,response,probability,rt_ms,pupil,dwell_ms,device
P001,I01,0,0.779372,1140.71,3.1976,376.34,GP3
P001,I02,1,0.749724,1323.579,3.3713,460.11,GP3
P001,I03,1,0.705472,1474.878,3.5376,622.76,GP3
P001,I04,1,0.643072,1066.273,3.197,377.08,GP3
P001,I05,1,0.560997,1275.029,3.2818,566.27,GP3
P001,I06,0,0.460871,1170.139,3.2248,421.53,GP3
P001,I07,0,0.349859,1091.882,3.136,670.05,GP3
P001,I08,1,0.242164,1553.943,3.2851,308.53,GP3
P002,I01,1,0.774889,1123.625,3.4302,305.02,GP3
P002,I02,0,0.744298,1249.562,3.0319,502.5,GP3
P002,I03,1,0.698875,1202.844,3.1722,376.15,GP3
P002,I04,1,0.635151,1211.904,3.2563,287.92,GP3
P002,I06,1,0.450949,1292.907,3.2926,473.75,GP3
P002,I07,0,0.340181,1352.393,3.1919,488.44,GP3
P002,I08,0,0.233883,1242.225,3.1311,568.22,GP3
P003,I01,1,0.767213,814.159,3.3468,274.42,GP3
P003,I03,0,0.687607,1278.47,3.216,444.95,GP3
P003,I05,1,0.536336,1079.969,3.3565,430.31,GP3
P003,I06,0,0.434373,960.449,3.3537,351.74,GP3
P003,I07,0,0.324222,1721.628,3.1884,534.87,GP3
P003,I08,0,0.220421,1496.763,3.1063,482.76,GP3
P004,I01,1,0.937108,2271.908,3.3332,346.34,GP3
P004,I02,1,0.936665,1773.077,3.2516,526.21,GP3
P004,I03,1,0.932617,1542.654,3.3404,344.67,GP3
P004,I04,1,0.924022,1757.013,3.3195,421.56,GP3
P004,I05,1,0.909878,1103.455,3.4006,364.33,GP3
P004,I06,1,0.887701,1396.851,3.2632,397.91,GP3
P004,I08,1,0.801898,978.714,3.2654,377.18,GP3
P005,I01,1,0.874542,1592.562,3.3068,276.01,GP3
P005,I02,1,0.864265,1579.557,3.3639,339.1,GP3
P005,I03,1,0.845775,1461.438,3.2447,443.32,GP3
P005,I06,1,0.709623,1484.655,3.2801,411.5,GP3
P005,I07,1,0.623645,1118.08,3.273,276.92,GP3
P006,I01,1,0.745831,1573.704,3.3919,358.5,GP3
P006,I02,1,0.709169,1361.459,3.3435,479.56,GP3
P006,I03,0,0.656429,1586.563,3.0571,422.4,GP3
