function,module,category,status,evidence_class,documentation,tests
eye_plot_spec,030-measurement-intelligence-utils.R,measurement intelligence utils,implemented,reference_implementation,grouped_Rd,targeted
plot_diagnostics,030-measurement-intelligence-utils.R,measurement intelligence utils,implemented,reference_implementation,grouped_Rd,targeted
plot_evidence,030-measurement-intelligence-utils.R,measurement intelligence utils,implemented,reference_implementation,grouped_Rd,targeted
plot_sensitivity,030-measurement-intelligence-utils.R,measurement intelligence utils,implemented,reference_implementation,grouped_Rd,targeted
autoplot_eyeprocess,030-measurement-intelligence-utils.R,measurement intelligence utils,implemented,reference_implementation,grouped_Rd,targeted
assign_aois_probabilistic,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
audit_aoi_separation,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
summarise_aoi_membership,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
propagate_aoi_uncertainty,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_aoi_probability_map,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_aoi_boundary_risk,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_probabilistic_scanpath,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_fuzzy_transition_matrix,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_aoi_metric_uncertainty,031-probabilistic-aoi.R,probabilistic aoi,implemented,reference_implementation,grouped_Rd,targeted
derive_aoi_composition,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
transform_aoi_composition,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
fit_aoi_compositional_model,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
compare_aoi_compositions,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
aoi_balance_coordinates,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_aoi_ternary,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_aoi_balance_biplot,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_aoi_variation_matrix,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_compositional_group_difference,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
plot_aoi_composition_trajectory,032-compositional-aoi.R,compositional aoi,implemented,reference_implementation,grouped_Rd,targeted
process_uncertainty_spec,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
estimate_process_uncertainty,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
propagate_process_uncertainty,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
uncertainty_budget,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
compare_uncertainty_budgets,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
plot_uncertainty_waterfall,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
plot_uncertainty_tornado,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
plot_uncertainty_by_item,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
plot_uncertainty_by_stage,033-process-uncertainty.R,process uncertainty,implemented,reference_implementation,grouped_Rd,targeted
detect_calibration_drift,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
fit_offline_recalibration,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
apply_offline_recalibration,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
audit_recalibration,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
plot_calibration_vector_field,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
plot_calibration_error_ellipses,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
plot_drift_over_time,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
plot_recalibration_before_after,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
plot_screen_coverage,034-calibration-recalibration.R,calibration recalibration,implemented,reference_implementation,grouped_Rd,targeted
fit_process_gstudy,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
process_variance_components,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
design_process_dstudy,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
audit_process_reliability,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
plot_variance_components,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
plot_dependability_surface,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
plot_reliability_by_metric,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
plot_session_stability,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
plot_item_sampling_reliability,035-process-reliability.R,process reliability,implemented,reference_implementation,grouped_Rd,targeted
fit_device_linking,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
apply_device_linking,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
audit_device_equivalence,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
estimate_device_specific_error,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
plot_device_agreement,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
plot_device_bias_by_magnitude,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
plot_device_transfer_curve,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
plot_device_equivalence_intervals,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
plot_cross_vendor_metric_matrix,036-device-linking.R,device linking,implemented,reference_implementation,grouped_Rd,targeted
register_pupil_curves,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
decompose_pupil_phase_amplitude,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
fit_phase_amplitude_irt,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
audit_pupil_registration,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
plot_pupil_registration,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
plot_warping_functions,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
plot_phase_amplitude_scores,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
plot_item_phase_delay,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
plot_registered_pupil_effects,037-pupil-registration.R,pupil registration,implemented,reference_implementation,grouped_Rd,targeted
