function,kind,documentation
audit_benchmark_release,export,man/audit_benchmark_release.Rd
audit_model_promotion,export,man/audit_model_promotion.Rd
audit_roundtrip_loss,export,man/audit_roundtrip_loss.Rd
audit_validation_completion,export,man/audit_validation_completion.Rd
audit_vendor_field_coverage,export,man/audit_vendor_field_coverage.Rd
benchmark_expected_outputs,export,man/benchmark_expected_outputs.Rd
benchmark_eye_storage,export,man/benchmark_eye_storage.Rd
build_compatibility_matrix,export,man/build_compatibility_matrix.Rd
collect_validation_jobs,export,man/collect_validation_jobs.Rd
compare_diffusion_accuracy_rt,export,man/compare_diffusion_accuracy_rt.Rd
compare_dynamic_transition_models,export,man/compare_dynamic_transition_models.Rd
compare_engine_adapters,export,man/compare_engine_adapters.Rd
compare_functional_scalar_models,export,man/compare_functional_scalar_models.Rd
compare_strategy_heterogeneity,export,man/compare_strategy_heterogeneity.Rd
compare_vendor_semantics,export,man/compare_vendor_semantics.Rd
decode_dynamic_states,export,man/decode_dynamic_states.Rd
detect_corrupt_partitions,export,man/detect_corrupt_partitions.Rd
diffusion_identification_study,export,man/diffusion_identification_study.Rd
diffusion_parameter_diagnostics,export,man/diffusion_parameter_diagnostics.Rd
diffusion_posterior_predictive,export,man/diffusion_posterior_predictive.Rd
dynamic_irtree_recovery,export,man/dynamic_irtree_recovery.Rd
dynamic_irtree_spec,export,man/dynamic_irtree_spec.Rd
dynamic_posterior_predictive_check,export,man/dynamic_posterior_predictive_check.Rd
dynamic_transition_design,export,man/dynamic_transition_design.Rd
engine_adapter_status,export,man/engine_adapter_status.Rd
external_model_engines,export,man/external_model_engines.Rd
extract_diffusion_parameters,export,man/extract_diffusion_parameters.Rd
extract_functional_pupil_parameters,export,man/extract_functional_pupil_parameters.Rd
eyeprocess_api_version,export,man/eyeprocess_api_version.Rd
eyeprocess_benchmark_study,export,man/eyeprocess_benchmark_study.Rd
eyeprocess_deprecation,export,man/eyeprocess_deprecation.Rd
fingerprint_validation_case,export,man/fingerprint_validation_case.Rd
fit_brms_adapter,export,man/fit_brms_adapter.Rd
fit_diffirt_engine_adapter,export,man/fit_diffirt_engine_adapter.Rd
fit_dynamic_irtree,export,man/fit_dynamic_irtree.Rd
fit_dynamic_irtree_stan,export,man/fit_dynamic_irtree_stan.Rd
fit_external_engine,export,man/fit_external_engine.Rd
fit_eyetrackingr_adapter,export,man/fit_eyetrackingr_adapter.Rd
fit_functional_pupil_stan,export,man/fit_functional_pupil_stan.Rd
fit_gaze_diffusion_irt,export,man/fit_gaze_diffusion_irt.Rd
fit_gaze_diffusion_stan,export,man/fit_gaze_diffusion_stan.Rd
fit_gdina_adapter,export,man/fit_gdina_adapter.Rd
fit_joint_functional_pupil_irt,export,man/fit_joint_functional_pupil_irt.Rd
fit_lnirt_adapter,export,man/fit_lnirt_adapter.Rd
fit_mirt_adapter,export,man/fit_mirt_adapter.Rd
fit_multinomial_transition,export,man/fit_multinomial_transition.Rd
fit_openmx_adapter,export,man/fit_openmx_adapter.Rd
fit_pupillometryr_adapter,export,man/fit_pupillometryr_adapter.Rd
fit_seqhmm_adapter,export,man/fit_seqhmm_adapter.Rd
fit_strategy_mixture_em,export,man/fit_strategy_mixture_em.Rd
fit_strategy_mixture_stan,export,man/fit_strategy_mixture_stan.Rd
fit_tam_adapter,export,man/fit_tam_adapter.Rd
fit_theory_strategy_irt,export,man/fit_theory_strategy_irt.Rd
fit_traminer_adapter,export,man/fit_traminer_adapter.Rd
functional_pupil_basis,export,man/functional_pupil_basis.Rd
functional_pupil_diagnostics,export,man/functional_pupil_diagnostics.Rd
functional_pupil_irt_spec,export,man/functional_pupil_irt_spec.Rd
gaze_diffusion_spec,export,man/gaze_diffusion_spec.Rd
import_benchmark_study,export,man/import_benchmark_study.Rd
init_vendor_corpus,export,man/init_vendor_corpus.Rd
migrate_eye_storage_schema,export,man/migrate_eye_storage_schema.Rd
model_promotion_spec,export,man/model_promotion_spec.Rd
