replication,rank,n_draws
1,0,19
2,1,19
3,2,19
4,3,19
5,4,19
6,5,19
7,6,19
8,7,19
9,8,19
10,9,19
11,10,19
12,11,19
13,12,19
14,13,19
15,14,19
16,15,19
17,16,19
18,17,19
19,18,19
20,19,19
21,0,19
22,1,19
23,2,19
24,3,19
25,4,19
26,5,19
27,6,19
28,7,19
29,8,19
30,9,19
31,10,19
32,11,19
33,12,19
34,13,19
35,14,19
36,15,19
37,16,19
38,17,19
39,18,19
40,19,19
41,0,19
42,1,19
43,2,19
44,3,19
45,4,19
46,5,19
47,6,19
48,7,19
49,8,19
50,9,19
51,10,19
52,11,19
53,12,19
54,13,19
55,14,19
56,15,19
57,16,19
58,17,19
59,18,19
60,19,19
61,0,19
62,1,19
63,2,19
64,3,19
65,4,19
66,5,19
67,6,19
68,7,19
69,8,19
70,9,19
71,10,19
72,11,19
73,12,19
74,13,19
75,14,19
76,15,19
77,16,19
78,17,19
79,18,19
80,19,19
81,0,19
82,1,19
83,2,19
84,3,19
85,4,19
86,5,19
87,6,19
88,7,19
89,8,19
90,9,19
91,10,19
92,11,19
93,12,19
94,13,19
95,14,19
96,15,19
97,16,19
98,17,19
99,18,19
100,19,19
101,0,19
102,1,19
103,2,19
104,3,19
105,4,19
106,5,19
107,6,19
108,7,19
109,8,19
110,9,19
111,10,19
112,11,19
113,12,19
114,13,19
115,14,19
116,15,19
117,16,19
118,17,19
119,18,19
120,19,19
121,0,19
122,1,19
123,2,19
124,3,19
125,4,19
126,5,19
127,6,19
128,7,19
129,8,19
130,9,19
131,10,19
132,11,19
133,12,19
134,13,19
135,14,19
136,15,19
137,16,19
138,17,19
139,18,19
140,19,19
141,0,19
142,1,19
143,2,19
144,3,19
145,4,19
146,5,19
147,6,19
148,7,19
149,8,19
150,9,19
151,10,19
152,11,19
153,12,19
154,13,19
155,14,19
156,15,19
157,16,19
158,17,19
159,18,19
160,19,19
161,0,19
162,1,19
163,2,19
164,3,19
165,4,19
166,5,19
167,6,19
168,7,19
169,8,19
170,9,19
171,10,19
172,11,19
173,12,19
174,13,19
175,14,19
176,15,19
177,16,19
178,17,19
179,18,19
180,19,19
181,0,19
182,1,19
183,2,19
184,3,19
185,4,19
186,5,19
187,6,19
188,7,19
189,8,19
190,9,19
191,10,19
192,11,19
193,12,19
194,13,19
195,14,19
196,15,19
197,16,19
198,17,19
199,18,19
200,19,19
