specification_id,fixation_min_ms,pupil_interpolation,max_invalid_trial,effect,lower,upper,p_value
S001,60,none,0.2,0.2973780262399396,0.2114911224352688,0.3832649300446104,1.1498423395089045e-11
S002,60,none,0.3,0.29926174384135334,0.21308974917731316,0.38543373850539353,9.981375063368775e-12
S003,60,none,0.4,0.28929828590617274,0.18810357958070317,0.3904929922316423,2.103046483697807e-08
S004,60,linear,0.2,0.3094387203131415,0.2178063837218135,0.40107105690446954,3.620253005734167e-11
S005,60,linear,0.3,0.32334906682952624,0.23520713824029815,0.41149099541875434,6.466382470877289e-13
S006,60,linear,0.4,0.32850616777323116,0.22860170439513153,0.4284106311513308,1.156933605994118e-10
S007,60,spline,0.2,0.3350087432060983,0.24927487641408896,0.42074260999810764,1.8770229999876194e-14
S008,60,spline,0.3,0.32063976801741795,0.2380863327192171,0.4031932033156188,2.684432465673634e-14
S009,60,spline,0.4,0.34372463384827356,0.2539277864452611,0.43352148125128603,6.261502242127003e-14
S010,80,none,0.2,0.2839004319855196,0.19255549255876608,0.37524537141227315,1.1172646273891155e-09
S011,80,none,0.3,0.2861301488087314,0.1923144615723375,0.3799458360451253,2.2611677677276866e-09
S012,80,none,0.4,0.29194316857040237,0.19609446211541032,0.3877918750253944,2.3737752712817017e-09
S013,80,linear,0.2,0.3017299656165948,0.20837249692854629,0.3950874343046433,2.3781713645143936e-10
S014,80,linear,0.3,0.3034996972859107,0.203634825241131,0.4033645693306904,2.574715814370633e-09
S015,80,linear,0.4,0.3196490294504807,0.23276196224058293,0.40653609666037843,5.568604504692983e-13
S016,80,spline,0.2,0.3176029898851744,0.23269650396674374,0.402509475803605,2.2739168587540634e-13
S017,80,spline,0.3,0.3184980407824949,0.2374758207401691,0.39952026082482067,1.3109702647672853e-14
S018,80,spline,0.4,0.3204150010624226,0.22161243045484869,0.4192175716699965,2.067444208653686e-10
S019,100,none,0.2,0.2567462387247053,0.16286832566611548,0.35062415178329515,8.304051343991732e-08
S020,100,none,0.3,0.2816657381198629,0.19413098201869294,0.36920049422103285,2.848499456515874e-10
S021,100,none,0.4,0.27729687359371796,0.1989708967455513,0.35562285044188463,3.949593991461267e-12
S022,100,linear,0.2,0.30507566539671366,0.21650845712663147,0.39364287366679585,1.464748294854519e-11
S023,100,linear,0.3,0.29483244565513705,0.21283366942538295,0.37683122188489115,1.823968930549641e-12
S024,100,linear,0.4,0.3143551741923112,0.23617762409813792,0.39253272428648445,3.2414448285758757e-15
S025,100,spline,0.2,0.2989940210533813,0.21573707154312455,0.38225097056363805,1.9391473210421843e-12
S026,100,spline,0.3,0.2957694071578661,0.2124338342709714,0.3791049800447608,3.493020178498864e-12
S027,100,spline,0.4,0.3011823836693152,0.20665517504087694,0.3957095922977535,4.2394200520745734e-10
